month,city,market,month_on_month,yoy,year_avg,methodology,source_url
2019-08,北京,secondhand,99.6,99.1,145.9,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-08,深圳,secondhand,100.2,101.7,155.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-08,重庆,secondhand,99.6,104.6,129.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-09,上海,secondhand,100.6,101.0,139.8,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-09,北京,secondhand,99.5,98.8,145.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-09,深圳,secondhand,101.3,103.0,157.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-09,重庆,secondhand,99.4,103.1,128.3,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-10,上海,secondhand,99.8,101.1,139.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-10,北京,secondhand,99.4,98.5,144.3,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-10,深圳,secondhand,101.0,104.7,158.9,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-10,重庆,secondhand,99.8,102.4,128.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-11,上海,secondhand,100.0,101.2,139.5,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-11,北京,secondhand,99.6,98.7,143.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-11,深圳,secondhand,101.4,106.4,161.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-11,重庆,secondhand,100.5,102.5,128.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-12,上海,secondhand,99.8,101.3,139.3,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-12,北京,secondhand,100.6,99.5,144.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-12,深圳,secondhand,101.0,107.8,162.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2019-12,重庆,secondhand,99.7,101.7,128.3,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-01,上海,secondhand,100.2,101.4,139.5,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-01,北京,secondhand,100.4,100.0,145.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-01,深圳,secondhand,100.7,108.8,163.8,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-01,重庆,secondhand,99.6,100.9,127.8,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-02,上海,secondhand,100.2,101.6,139.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-02,北京,secondhand,99.8,99.6,144.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-02,深圳,secondhand,100.5,108.8,164.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-02,重庆,secondhand,99.5,100.1,127.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-03,上海,secondhand,100.3,101.6,140.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-03,北京,secondhand,100.2,99.3,144.9,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-03,深圳,secondhand,101.6,109.7,167.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-03,重庆,secondhand,99.3,99.3,126.3,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-04,上海,secondhand,101.2,102.3,141.7,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-04,北京,secondhand,101.1,99.8,146.5,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-04,深圳,secondhand,101.7,110.3,169.9,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-04,重庆,secondhand,99.9,98.4,126.2,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-05,上海,secondhand,100.6,102.8,142.5,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-05,北京,secondhand,101.8,101.5,149.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-05,深圳,secondhand,101.6,112.0,172.6,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-05,重庆,secondhand,100.0,98.1,126.1,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
2020-06,上海,secondhand,100.4,103.3,143.0,current_cirea_legacy_doc,https://cirea-net.oss-cn-beijing.aliyuncs.com/gjs/upload/file/202305/70-city-secondhand-2019-2022.doc
